index,marca,fecha_alerta,fecha_vencimiento,mes,status,plazo_de_gestion,sucursal,canal,vendedor_rc,responsable_de_gestionar_alerta,cliente,vin,vehículo,satisfaccion_inicial,recomendacion_inicial,incidente_o_retorno_inicial,categoria,causas,puesto_involucrado,tiempo_de_respuesta_dias,estado,resp_alerta,tipo_de_alerta
1,Marca 1,2018-08-03,2018-08-07,Agosto,GESTIONADO,A TIEMPO,Sucursal 1,PA,7f36ff6a5aa323bd8b3b80ad9a9a454e,ee28ab9178472ff97059aeddc36de287,defa57fbce5293a9b84a76d6405520cb,6234ff324e5567b371bc7cc37e7a1341,d24c84ff9ca17bebbf71b7a636f7763d,4.0,4.0,SI,Asesoramiento,"Omisión/error en la sucripcion o en la venta, Precios, Financiación, Plazos de entrega, Sobre el proceso administrativo",Adjudicados,0.9913140616450848,NO REVERTIDO,Responsable 1,BAJA CALIFICACION E INCIDENTE
4,Marca 1,2018-08-03,2018-08-06,Agosto,GESTIONADO,FUERA DE PLAZO,Sucursal 3,PA,0fd00c0adc003e4097bd31442da68992,ccfef5b5fd1bd0b56c6ae83a761e9412,d885a03917034d413724398224ac5caa,d3b819511a67750173b8276a2219f2bd,f7f1bc08d91ee74ba7c6cd0f3680863b,9.0,9.0,NO,Varios,"Disconformidad con el Fabricante:Disponibilidad de modelos; Asesoramiento: Facturación,Precios, Otros",Adjudicados,0.9913368593835492,REVERTIDO,Responsable 1,OBSERVACION
5,Marca 2,2018-08-10,2018-08-14,Agosto,GESTIONADO,A TIEMPO,Sucursal 1,PV,7db59b81bbaa5d9bd3476b5373efaa53,7db59b81bbaa5d9bd3476b5373efaa53,f63af17c420ee5ab887d28defb6b25cc,c479323534d52dbea8c606481642eda0,17e92f8dcbf8f6e092ae8fbd756e740a,8.0,8.0,SI,Reclamos al Taller,Mala reparación,Taller,0.9913140616450848,NO REVERTIDO,Responsable 1,BAJA CALIFICACION Y RETORNO
6,Marca 2,2018-08-10,2018-08-14,Agosto,GESTIONADO,FUERA DE PLAZO,Sucursal 1,PV,b50a919c66342a99687e80bc4d4299f5,b50a919c66342a99687e80bc4d4299f5,59bc74a5288b68156e8cebacccbccf52,6a0446168fd347b56a535e91a6aded05,17e92f8dcbf8f6e092ae8fbd756e740a,4.0,3.0,NO,Varios,Disconformidad con el fabricante : Políticas de precios ; Condiciones de atención del personal : Otros,Asesor,0.9916560277220501,NO REVERTIDO,Responsable 3,BAJA CALIFICACION
7,Marca 2,2018-08-10,2018-08-14,Agosto,GESTIONADO,FUERA DE PLAZO,Sucursal 1,PV,7db59b81bbaa5d9bd3476b5373efaa53,7db59b81bbaa5d9bd3476b5373efaa53,db739042c104cb28239618c025da11f7,fc54a538632e28dc7512a6c097782481,687e1ced01294269075eb8436a26ae2f,7.0,10.0,SI,Reclamos al taller,Otros,Taller,0.991519241291264,NO REVERTIDO,Responsable 2,BAJA CALIFICACION Y RETORNO
8,Marca 2,2018-08-10,2018-08-13,Agosto,GESTIONADO,A TIEMPO,Sucursal 1,PA,c4bb55a603ecd579667ef5dce00f9bac,e396d32cf3489569ab4cf995b7cb3ea6,5e7a567800220ecb872740711d10b30d,82a31cfd0b2ca2bbb85a93b15640de2a,05d148921c8bd00c88af38487e2a2188,9.0,9.0,NO,Asesoramiento,"Plazos de entrega, Incumplimiento de promesas",Ventas,0.9913140616450848,REVERTIDO,Responsable 2,OBSERVACION
9,Marca 2,2018-08-10,2018-08-13,Agosto,GESTIONADO,FUERA DE PLAZO,Sucursal 1,VN,32953e3e02f54e85bb8f2d2e20288ec8,640a4cb710922f0fba448d1185d0acf0,3fc9297d97468b129c11576d84af9a41,60d594491752c72086ab98e0214c94ae,17a6e24a3e19ef4f96804797a0250904,9.0,9.0,NO,Asesoramiento,Tasacion del usado,Gestoria,0.991519241291264,REVERTIDO,Responsable 2,OBSERVACION
10,Marca 2,2018-08-10,2018-08-13,Agosto,GESTIONADO,FUERA DE PLAZO,Sucursal 1,VN,cb7de146e880a0135c3166378536d62a,f76b229aa04499b73ad688dcbe7e7112,5f72a890229d7b866d03606335f6e38b,1b3c973f288b51e800781dc0e5e8d5e2,4a2dbd5b3ed9d4f813b2eb8184095757,9.0,10.0,NO,Asesoramiento,Plazos de entrega,Ventas,0.9913368593835492,REVERTIDO,Responsable 2,OBSERVACION
11,Marca 2,2018-08-10,2018-08-13,Agosto,GESTIONADO,FUERA DE PLAZO,Sucursal 1,PV,5aa557351742d288a6ca939107e4597d,5aa557351742d288a6ca939107e4597d,45299eb7c43c9af5ec32c30e84577d45,6c9a8757ae01aff9cde804667b0eaa4f,99820d77a4404509009320e9196e95f8,9.0,10.0,NO,Varios,Lavado: Vehículo mal lavado; Disconformidad con el Fabricante: Disponibilidad de repuestos,Asesor,0.9913368593835492,REVERTIDO,Responsable 1,OBSERVACION
12,Marca 2,2018-08-10,2018-08-13,Agosto,GESTIONADO,A TIEMPO,Sucursal 1,PV,b50a919c66342a99687e80bc4d4299f5,b50a919c66342a99687e80bc4d4299f5,186e8e41f028906453f1975e3aed2653,124ba7374830259ff7b0eba273e85391,5caa0081777feec0439f968fe99f1580,9.0,9.0,NO,Varios,Turnos: Falta de opción de autogestión de turnos; Facilidad para Comunicarse: Turnos,Turnos,0.9913140616450848,REVERTIDO,Responsable 1,OBSERVACION
